kabupaten,kecamatan,desa
Jembrana,Melaya,Gilimanuk
Jembrana,Melaya,Melaya
Jembrana,Melaya,Candikusuma
Jembrana,Melaya,Tuwed
Jembrana,Melaya,Tukadaya
Jembrana,Melaya,Manistutu
Jembrana,Melaya,Warnasari
Jembrana,Melaya,Nusa\-Sari
Jembrana,Melaya,Ekasari
Jembrana,Melaya,Blimbingsari
Jembrana,Negara,Cupel
Jembrana,Negara,Tegal\-Badeng\-Barat
Jembrana,Negara,Tegal\-Badeng\-Timur
Jembrana,Negara,Pengambengan
Jembrana,Negara,Loloan\-Barat
Jembrana,Negara,Lelateng
Jembrana,Negara,Banjar\-Tengah
Jembrana,Negara,Baluk
Jembrana,Negara,Banyubiru
Jembrana,Negara,Kaliakah
Jembrana,Negara,Berangbang
Jembrana,Negara,Baler\-Bale\-Agung
Jembrana,Jembrana,Perancak
Jembrana,Jembrana,Air\-Kuning
Jembrana,Jembrana,Yeh\-Kuning
Jembrana,Jembrana,Budeng
Jembrana,Jembrana,Sangkaragung
Jembrana,Jembrana,Dauhwaru
Jembrana,Jembrana,Loloan\-Timur
Jembrana,Jembrana,Pendem
Jembrana,Jembrana,Batuagung
Jembrana,Jembrana,Dangin\-Tukadaya
Jembrana,Mendoyo,Mendoyo\-Dauh\-Tukad
Jembrana,Mendoyo,Mendoyo\-Dangin\-Tukad
Jembrana,Mendoyo,Pohsanten
Jembrana,Mendoyo,Pergung
Jembrana,Mendoyo,Delod\-Berawah
Jembrana,Mendoyo,Tegal\-Cangkring
Jembrana,Mendoyo,Penyaringan
Jembrana,Mendoyo,Yeh\-Embang\-Kauh
Jembrana,Mendoyo,Yeh\-Embang
Jembrana,Mendoyo,Yeh\-Embang\-Kangin
Jembrana,Mendoyo,Yeh\-Sumbul
Jembrana,Pekutatan,Medewi
Jembrana,Pekutatan,Pulukan
Jembrana,Pekutatan,Pekutatan
Jembrana,Pekutatan,Pangyangan
Jembrana,Pekutatan,Gumbrih
Jembrana,Pekutatan,Pengeragoan
Jembrana,Pekutatan,Asahduren
Jembrana,Pekutatan,Manggissari
Tabanan,Selemadeg,Antap
Tabanan,Selemadeg,Bajera
Tabanan,Selemadeg,Berembeng
Tabanan,Selemadeg,Serampingan
Tabanan,Selemadeg,Selemadeg
Tabanan,Selemadeg,Pupuan\-Sawah
Tabanan,Selemadeg,Wanagiri
Tabanan,Selemadeg,Wanagiri\-Kauh
Tabanan,Selemadeg,Manikyang
Tabanan,Selemadeg,Bajera\-Utara
Tabanan,Selemadeg\-Timur,Tegal\-Mengkeb
Tabanan,Selemadeg\-Timur,Beraban
Tabanan,Selemadeg\-Timur,Tangguntiti
Tabanan,Selemadeg\-Timur,Mambang
Tabanan,Selemadeg\-Timur,Bantas
Tabanan,Selemadeg\-Timur,Megati
Tabanan,Selemadeg\-Timur,Gadungan
Tabanan,Selemadeg\-Timur,Gunung\-Salak
Tabanan,Selemadeg\-Timur,Dalang
Tabanan,Selemadeg\-Timur,Gadung\-Sari
Tabanan,Selemadeg\-Barat,Lalang\-Linggah
Tabanan,Selemadeg\-Barat,Antosari
Tabanan,Selemadeg\-Barat,Tiying\-Gading
Tabanan,Selemadeg\-Barat,Lumbung
Tabanan,Selemadeg\-Barat,Lumbung\-Kauh
Tabanan,Selemadeg\-Barat,Mundeh
Tabanan,Selemadeg\-Barat,Mundeh\-Kangin
Tabanan,Selemadeg\-Barat,Angkah
Tabanan,Selemadeg\-Barat,Mundeh\-Kauh
Tabanan,Selemadeg\-Barat,Selabih
Tabanan,Selemadeg\-Barat,Bengkel\-Sari
Tabanan,Kerambitan,Tibubiyu
Tabanan,Kerambitan,Kelating
Tabanan,Kerambitan,Penarukan
Tabanan,Kerambitan,Belumbang
Tabanan,Kerambitan,Tista
Tabanan,Kerambitan,Kerambitan
Tabanan,Kerambitan,Pangkung\-Karung
Tabanan,Kerambitan,Kukuh
Tabanan,Kerambitan,Baturiti
Tabanan,Kerambitan,Meliling
Tabanan,Kerambitan,Sembung\-Gede
Tabanan,Kerambitan,Samsam
Tabanan,Kerambitan,Batuaji
Tabanan,Kerambitan,Kesiut
Tabanan,Kerambitan,Timpag
Tabanan,Tabanan,Sudimara
Tabanan,Tabanan,Bongan
Tabanan,Tabanan,Gubug
Tabanan,Tabanan,Dauh\-Peken
Tabanan,Tabanan,Delod\-Peken
Tabanan,Tabanan,Dajan\-Peken
Tabanan,Tabanan,Subamia
Tabanan,Tabanan,Denbantas
Tabanan,Tabanan,Buahan
Tabanan,Tabanan,Tunjuk
Tabanan,Tabanan,Wanasari
Tabanan,Tabanan,Sesandan
Tabanan,Kediri,Pangkung\-Tibah
Tabanan,Kediri,Belalang
Tabanan,Kediri,Beraban
Tabanan,Kediri,Buwit
Tabanan,Kediri,Cepaka
Tabanan,Kediri,Kaba\-Kaba
Tabanan,Kediri,Pandak\-Gede
Tabanan,Kediri,Bengkel
Tabanan,Kediri,Pejaten
Tabanan,Kediri,Nyitdah
Tabanan,Kediri,Pandak\-Bandung
Tabanan,Kediri,Nyambu
Tabanan,Kediri,Kediri
Tabanan,Kediri,Abian\-Tuwung
Tabanan,Kediri,Banjar\-Anyar
Tabanan,Marga,Tegaljadi
Tabanan,Marga,Kukuh
Tabanan,Marga,Beringkit\-Belayu
Tabanan,Marga,Peken\-Belayu
Tabanan,Marga,Batannyuh
Tabanan,Marga,Kuwum
Tabanan,Marga,Caubelayu
Tabanan,Marga,Selanbawak
Tabanan,Marga,Marga
Tabanan,Marga,Petiga
Tabanan,Marga,Tua
Tabanan,Marga,Payangan
Tabanan,Marga,Dauh\-Puri
Tabanan,Marga,Dajan\-Puri
Tabanan,Marga,Geluntung
Tabanan,Marga,Baru
Tabanan,Baturiti,Perean
Tabanan,Baturiti,Perean\-Tengah
Tabanan,Baturiti,Perean\-Kangin
Tabanan,Baturiti,Luwus
Tabanan,Baturiti,Mekarsari
Tabanan,Baturiti,Apuan
Tabanan,Baturiti,Angseri
Tabanan,Baturiti,Bangli
Tabanan,Baturiti,Baturiti
Tabanan,Baturiti,Batunya
Tabanan,Baturiti,Antapan
Tabanan,Baturiti,Candikuning
Tabanan,Penebel,Rejasa
Tabanan,Penebel,Jegu
Tabanan,Penebel,Riang\-Gede
Tabanan,Penebel,Buruan
Tabanan,Penebel,Tajen
Tabanan,Penebel,Pitra
Tabanan,Penebel,Penatahan
Tabanan,Penebel,Tengkudak
Tabanan,Penebel,Mengeste
Tabanan,Penebel,Penebel
Tabanan,Penebel,Biaung
Tabanan,Penebel,Babahan
Tabanan,Penebel,Senganan
Tabanan,Penebel,Jatiluwih
Tabanan,Penebel,Wongaya\-Gede
Tabanan,Penebel,Pesagi
Tabanan,Penebel,Tegalinggah
Tabanan,Penebel,Sangketan
Tabanan,Pupuan,Belatungan
Tabanan,Pupuan,Kebon\-Padangan
Tabanan,Pupuan,Belimbing
Tabanan,Pupuan,Sanda
Tabanan,Pupuan,Batungsel
Tabanan,Pupuan,Pujungan
Tabanan,Pupuan,Pajahan
Tabanan,Pupuan,Munduk\-Temu
Tabanan,Pupuan,Pupuan
Tabanan,Pupuan,Bantiran
Tabanan,Pupuan,Padangan
Tabanan,Pupuan,Jelijih\-Punggang
Tabanan,Pupuan,Karya\-Sari
Tabanan,Pupuan,Sai
Badung,Kuta\-Selatan,Pecatu
Badung,Kuta\-Selatan,Ungasan
Badung,Kuta\-Selatan,Kutuh
Badung,Kuta\-Selatan,Benoa
Badung,Kuta\-Selatan,Tanjung\-Benoa
Badung,Kuta\-Selatan,Jimbaran
Badung,Kuta,Kedonganan
Badung,Kuta,Tuban
Badung,Kuta,Kuta
Badung,Kuta,Legian
Badung,Kuta,Seminyak
Badung,Kuta\-Utara,Kerobokan\-Kelod
Badung,Kuta\-Utara,Kerobokan
Badung,Kuta\-Utara,Kerobokan\-Kaja
Badung,Kuta\-Utara,Tibubeneng
Badung,Kuta\-Utara,Canggu
Badung,Kuta\-Utara,Dalung
Badung,Mengwi,Cemagi
Badung,Mengwi,Munggu
Badung,Mengwi,Pererenan
Badung,Mengwi,Tumbak\-Bayuh
Badung,Mengwi,Buduk
Badung,Mengwi,Abianbase
Badung,Mengwi,Sempidi
