name,link
Tirta Gangga,https://www.google.com/maps/place/Tirta+Gangga/data=!4m7!3m6!1s0x2dd24736f4379ad1:0x65af03b0d108a7d1!8m2!3d-8.4123473!4d115.5872919!16s%2Fm%2F09rv951!19sChIJ0Zo39DZH0i0R0acI0bADr2U?authuser=0&hl=id&rclk=1
Taman Ujung,https://www.google.com/maps/place/Taman+Ujung/data=!4m7!3m6!1s0x2dd20876e3e79815:0xfc9ab3edaa5d11f2!8m2!3d-8.4630811!4d115.6306692!16s%2Fm%2F011l7bd6!19sChIJFZjn43YI0i0R8hFdqu2zmvw?authuser=0&hl=id&rclk=1
Puri Agung Karangasem,https://www.google.com/maps/place/Puri+Agung+Karangasem/data=!4m7!3m6!1s0x2dd207cb2e2a20fd:0x4922d87b59173a2f!8m2!3d-8.4436684!4d115.6160057!16s%2Fg%2F11f1v45j01!19sChIJ_SAqLssH0i0RLzoXWXvYIkk?authuser=0&hl=id&rclk=1
Bukit Asah Desa Bugbug,https://www.google.com/maps/place/Bukit+Asah+Desa+Bugbug/data=!4m7!3m6!1s0x2dd208e5ef404969:0xcbc71b3eb1a48131!8m2!3d-8.505565!4d115.6105888!16s%2Fg%2F11cnddsz4y!19sChIJaUlA7-UI0i0RMYGksT4bx8s?authuser=0&hl=id&rclk=1
Pura Penataran Agung Lempuyang,https://www.google.com/maps/place/Pura+Penataran+Agung+Lempuyang/data=!4m7!3m6!1s0x2dd2071753222893:0x40a0fd58fe779263!8m2!3d-8.3913794!4d115.6306937!16s%2Fg%2F11gdkpxymn!19sChIJkygiUxcH0i0RY5J3_lj9oEA?authuser=0&hl=id&rclk=1
Bukit Putung,https://www.google.com/maps/place/Bukit+Putung/data=!4m7!3m6!1s0x2dd20579397580d7:0x80814dee85b3d58!8m2!3d-8.454822!4d115.5162067!16s%2Fg%2F11c2p3l1_y!19sChIJ14B1OXkF0i0RWD1b6N4UCAg?authuser=0&hl=id&rclk=1
Pantai Wates Karangasem,https://www.google.com/maps/place/Pantai+Wates+Karangasem/data=!4m7!3m6!1s0x2dd20e086d66ee27:0xeda05812598bdc71!8m2!3d-8.5505261!4d115.4800833!16s%2Fg%2F11cjhzybvl!19sChIJJ-5mbQgO0i0RcdyLWRJYoO0?authuser=0&hl=id&rclk=1
Taman Soekasada Ujung Water Palace,https://www.google.com/maps/place/Taman+Soekasada+Ujung+Water+Palace/data=!4m7!3m6!1s0x2dd20876c074126d:0xce57da4e1329d347!8m2!3d-8.4630811!4d115.6306692!16s%2Fg%2F1hf1l6_dx!19sChIJbRJ0wHYI0i0RR9MpE07aV84?authuser=0&hl=id&rclk=1
Taman Edelweis Bali,https://www.google.com/maps/place/Taman+Edelweis+Bali/data=!4m7!3m6!1s0x2dd21db916c3b987:0x9edfee0513c3844!8m2!3d-8.3694813!4d115.4632965!16s%2Fg%2F11g19vp3p9!19sChIJh7nDFrkd0i0RRDg8UeD-7Qk?authuser=0&hl=id&rclk=1
Air Terjun Jagasatru,https://www.google.com/maps/place/Air+Terjun+Jagasatru/data=!4m7!3m6!1s0x2dd2057ac05b6f73:0x782d1dc9b59984c2!8m2!3d-8.4593053!4d115.5102254!16s%2Fg%2F11g8kstlg_!19sChIJc29bwHoF0i0RwoSZtckdLXg?authuser=0&hl=id&rclk=1
Bukit Guungan,https://www.google.com/maps/place/Bukit+Guungan/data=!4m7!3m6!1s0x2dd2092b03fce207:0x2d0d9cba04a3e6af!8m2!3d-8.5056801!4d115.5715518!16s%2Fg%2F11g9dms1fh!19sChIJB-L8AysJ0i0Rr-ajBLqcDS0?authuser=0&hl=id&rclk=1
Telaga Waja Waterfall,https://www.google.com/maps/place/Telaga+Waja+Waterfall/data=!4m7!3m6!1s0x2dd21af1043331df:0x984045c0d887ca61!8m2!3d-8.4460484!4d115.4344223!16s%2Fg%2F11ckw28n1w!19sChIJ3zEzBPEa0i0RYcqH2MBFQJg?authuser=0&hl=id&rclk=1
Pantai Jasri,https://www.google.com/maps/place/Pantai+Jasri/data=!4m7!3m6!1s0x2dd20860ad381891:0x38b1f55034125f25!8m2!3d-8.4793541!4d115.6219076!16s%2Fg%2F11c1nz8mt0!19sChIJkRg4rWAI0i0RJV8SNFD1sTg?authuser=0&hl=id&rclk=1
Taman Bunga Teratai,https://www.google.com/maps/place/Taman+Bunga+Teratai/data=!4m7!3m6!1s0x2dd2092c47535459:0x8aa9e73c6ffe54bb!8m2!3d-8.5105948!4d115.5723526!16s%2Fg%2F11cknw4x8_!19sChIJWVRTRywJ0i0Ru1T-bzznqYo?authuser=0&hl=id&rclk=1
Savana Tianyar,https://www.google.com/maps/place/Savana+Tianyar/data=!4m7!3m6!1s0x2dd1fa262ae6d15f:0x21d7bc44437e774c!8m2!3d-8.224334!4d115.508731!16s%2Fg%2F11fz7k47kv!19sChIJX9HmKib60S0RTHd-Q0S81yE?authuser=0&hl=id&rclk=1
Pantai Yeh Malet Kabupaten Karang Asem Bali,https://www.google.com/maps/place/Pantai+Yeh+Malet+Kabupaten+Karang+Asem+Bali/data=!4m7!3m6!1s0x2dd20e07ee77b59b:0x8aeab98fb33e2bb4!8m2!3d-8.5496897!4d115.4840967!16s%2Fg%2F11cjj0njsg!19sChIJm7V37gcO0i0RtCs-s4-56oo?authuser=0&hl=id&rclk=1
Tirta Ujung Water Spring,https://www.google.com/maps/place/Tirta+Ujung+Water+Spring/data=!4m7!3m6!1s0x2dd20879ea8680f1:0xef3d9d2bf8cbee2a!8m2!3d-8.4638062!4d115.6260345!16s%2Fg%2F11by_br56d!19sChIJ8YCG6nkI0i0RKu7L-CudPe8?authuser=0&hl=id&rclk=1
Pura Agung Besakih,https://www.google.com/maps/place/Pura+Agung+Besakih/data=!4m7!3m6!1s0x2dd21cbe3748b2b7:0xbfc39798cd1bb4a!8m2!3d-8.3738651!4d115.4522394!16zL20vMDc3ZDM4!19sChIJt7JIN74c0i0RSrvRjHk5_As?authuser=0&hl=id&rclk=1
Danau Yeh Malet,https://www.google.com/maps/place/Danau+Yeh+Malet/data=!4m7!3m6!1s0x2dd20e0542d0555f:0x45e8bf046026392!8m2!3d-8.5414575!4d115.4844259!16s%2Fg%2F11fy15lcsg!19sChIJX1XQQgUO0i0RkmMCRvCLXgQ?authuser=0&hl=id&rclk=1
Jembatan Kuning Tukad Yeh Unda,https://www.google.com/maps/place/Jembatan+Kuning+Tukad+Yeh+Unda/data=!4m7!3m6!1s0x2dd21a96e278371b:0xde69e66b68b06889!8m2!3d-8.4598924!4d115.4457336!16s%2Fg%2F11cjg91g5q!19sChIJGzd44pYa0i0RiWiwaGvmad4?authuser=0&hl=id&rclk=1
Lahangan Sweet,https://www.google.com/maps/place/Lahangan+Sweet/data=!4m7!3m6!1s0x2dd2017806b570ad:0x3b06c78dc76ca3a2!8m2!3d-8.3721589!4d115.6371092!16s%2Fg%2F11fn97b_yv!19sChIJrXC1BngB0i0RoqNsx43HBjs?authuser=0&hl=id&rclk=1
Air Terjun Yeh Labuh,https://www.google.com/maps/place/Air+Terjun+Yeh+Labuh/data=!4m7!3m6!1s0x2dd205888855f2b7:0x2b12e006df0868c6!8m2!3d-8.4637236!4d115.5334875!16s%2Fg%2F11g6qjb_m1!19sChIJt_JViIgF0i0RxmgI3wbgEis?authuser=0&hl=id&rclk=1
